category,name,value,date,prev_year,change_from_prev_year,source,detail1
Jobs,Total Jobs,"397,831","""June 2015""",,3.30%,California Employment Development Department,monthly_jobs_june2015.csv
Jobs,Unemployment Rate,4.20%,"""March 2016""",,-1.00%,California Employment Development Department,monthly_unemployment_march2016.csv
Jobs,Annual Patents,9367,"""2015""",9513,-1.50%,US Patent and Trademark Office,TBD
Talent,Labor Force,"552,300","""March 2016""",537500,2.80%,"US Census Bureau, American Community Survey 1-year Estimates",monthly_laborforce_march2016.csv
Talent,Population with Bachelor's Degree ,40%,2014,,TBD,"US Census Bureau, American Community Survey 1-year Estimates",TBD
Talent,Population Born Outside US,40%,2014,,TBD,"US Census Bureau, American Community Survey 1-year Estimates",TBD
Real Estate,Office Vacancy,11.30%,Q1 2016,,TBD,Colliers,TBD
Real Estate,R&D Vacancy,14.00%,Q1 2016,,TBD,CBRE MarketView,TBD
Real Estate,Industrial Vacancy,2.00%,Q1 2016,,TBD,CBRE MarketView,TBD
Housing,Average Apartment Rent,$2436.00,Q4 2015,2227,9%,realAnswers,TBD
Housing,Apartment Vacancy Rate,5.40%,Q4 2015,3.3,-0.9,realAnswers,TBD
Housing,Median Sales Price - Single Family Home," $911,000 ","""March 2016""",801000,14%,Santa Clara County Association of Realtors,TBD
