Sector,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15
Education and Health Services,123,66797,68145,67470,67540,67655,66577,57075,57102,64256,66410,66969,66790,65356,66269,65916,66270,66538,66057,53364,55881,62118,64807,65434,65257,64445,65098,65363,65850,66067,65091,53934,55901,61319,64094,64679,64317,64238,65052,65129,65518,65913,64217,55148,56486,62829,65240,65626,65454,65363,66654,66724,66736,66962,65402,56197,59115,64848,66896,67577,67516,76051,76537,76785,78022,78226,76932,68954,71497,77907,79694,80190,79928,78973,80145,80410,80956,81141,79546,71174,74715,79861,81455,81487,81278,81021,81664,82168,82449,82752
Professional and Business Services,165,66408,66851,66837,66733,65940,66320,66013,66164,66032,65522,65082,64488,60680,59954,59533,58637,58401,58805,57882,57981,57647,58181,58179,58412,56657,56782,56833,57796,57729,57753,58624,58575,58568,58491,58545,59038,59761,60103,60032,60371,60183,60538,61064,61388,60915,61016,61042,61471,60459,61326,61858,61791,61565,61747,62733,62904,62801,64389,64845,65811,63460,64237,64882,64927,65130,65462,66706,67769,67437,65771,66593,67010,66531,67440,67359,67427,67024,67642,67776,68173,68325,69337,69415,69948,69433,70018,71312,71761,71562
"Trade, Transportation and Utilities",250,65069,64781,64889,64423,64517,64212,64170,64556,64415,64330,64651,64867,61744,61100,60223,59773,59902,59409,59101,59104,59220,59147,60226,60768,58994,58450,58441,58291,58447,58568,58717,59067,58946,59260,61010,61838,60159,59651,59538,59654,59826,60403,60924,61118,61140,61479,62970,63872,62595,62193,62223,62641,62834,63554,63669,63929,64034,64127,65824,67330,64533,64312,63988,63970,64262,64933,65254,65506,65307,65938,67669,68426,65572,65221,65254,65569,65605,66138,65844,65876,65577,66080,68044,68977,67898,67014,66799,66384,66406
Manufacturing,96,60718,60829,60883,60533,61065,61358,60856,60823,60285,59916,59733,59202,60191,59359,58635,57442,57060,56885,56440,55866,55817,55302,55409,55735,54141,54278,54285,54362,54823,55511,56564,56891,56797,57319,57520,57640,57684,57599,57755,57077,57219,57714,56905,56701,55204,54610,54492,54620,53109,53152,53176,53098,53245,53716,53894,53954,53585,54293,54272,54416,52504,52490,52607,53029,53044,53365,54355,54348,54266,54637,54625,54401,54988,55139,55062,55173,55230,55662,57679,57672,57022,56118,56121,55987,55937,56095,56180,55539,55815
Leisure and Hospitality,143,32480,33558,33877,34017,33912,34154,33943,34746,34519,33184,33355,33050,32557,32807,32528,32530,32482,33030,32889,32934,32502,31691,31358,31760,31653,32286,32576,32977,33475,32713,33009,32877,32826,32570,32738,33187,32756,33461,33753,33845,34193,34007,34271,34369,34227,34542,34230,34215,34036,34569,34853,35215,35694,35663,36285,35709,36280,36286,35888,35936,36014,36898,36714,37999,38959,38627,38384,37453,38129,38104,38686,38728,37327,38539,38658,39137,40137,39719,39848,39531,39611,39666,39642,39702,38889,40414,40636,41209,41906
Construction,23,22706,22907,22879,22608,22868,22913,22947,23161,22968,22281,21454,20980,19725,18756,18715,18036,17854,17785,17613,17716,17476,17103,17101,16901,16495,16344,16482,16804,16951,17342,17638,17598,17636,17688,17290,17130,16431,16357,16650,16353,16432,16982,17667,17754,17941,17695,17584,17478,17278,17413,17511,17681,18495,18800,18799,18963,18722,18752,18774,18728,18317,18473,18642,18936,19026,19449,20129,20518,20305,20233,20333,20709,18846,19165,19249,19510,19665,20224,20636,20884,20806,20586,20559,20402,20664,20957,21385,21708,22045
Financial Activities,105,15864,16024,15877,15846,15862,15748,15740,15588,15658,16941,16612,16739,16506,16418,16453,16295,16194,16076,15944,15997,15847,15979,16092,16033,15350,15258,15518,15670,15728,15789,15218,15382,15265,15731,16012,15957,15058,15185,15244,15209,15242,15393,15471,15449,15403,15533,15760,15750,15971,15932,16125,16112,16250,16557,16511,16385,16378,16551,16657,16496,15588,15690,15808,15908,16158,16100,16040,16037,15854,16129,16153,15992,15741,15766,15859,15961,16174,16484,16099,16074,16057,16215,16281,16342,16146,16161,16071,15988,16207
Public Administration,92,17997,17895,17836,17865,18587,17975,18062,18153,17984,18126,18123,18045,17846,17635,17766,17880,17915,17920,18483,18455,17995,17762,17736,17755,17598,17419,17412,17467,17586,17640,18163,17968,17342,17455,17460,17425,17195,16981,16881,16799,16775,16523,16285,16249,16225,16193,16150,16041,15969,15912,16003,16307,16452,16388,16297,16399,16343,16478,16639,16455,16258,16270,16301,16352,16576,16322,16320,16311,16513,16682,16734,16660,16216,16123,16167,16324,16574,16528,16221,16376,16510,16683,16564,16545,16380,16392,16453,16277,16431
Information,51,8820,8858,8807,8810,8832,8841,9061,9044,8888,8611,8635,8671,9294,9213,9088,9044,9026,9038,8993,8991,8877,8845,8848,8858,8730,8624,8597,8637,8581,8568,8634,8591,8535,8280,8354,8359,8428,8430,8430,8395,8372,8369,8402,8430,8247,7606,7579,7602,7474,7544,7561,7554,7587,7624,7894,7832,7836,8096,8139,8309,10747,10801,10827,10831,10814,10874,10802,10797,10685,10567,10622,10666,10522,10582,10598,10599,10517,10702,10804,10856,10733,10674,10750,10812,11216,11291,11314,11452,11507
Other Services,81,15453,15759,15894,16262,16687,16572,16226,16464,16619,16605,16774,16529,16709,17070,17005,16333,16548,16195,16369,16545,16572,16168,16281,15972,14381,14739,14615,14689,15229,14828,15448,15662,15502,15029,15413,14810,13954,14414,13781,14463,14876,14383,15265,15400,15110,14905,15457,14741,14695,14953,14764,17375,17497,17535,18570,18525,18574,18644,18583,18616,9627,9763,9864,9940,10115,10108,10177,10233,10257,10205,10160,10091,9930,10074,10128,10521,10554,10684,10576,10671,10586,10621,10586,10501,10671,10762,10903,11126,11341
