Date,Jobs
Jan-08,"374,017"
Feb-08,"377,484"
Mar-08,"377,210"
Apr-08,"376,554"
May-08,"377,953"
Jun-08,"377,119"
Jul-08,"366,284"
Aug-08,"367,798"
Sep-08,"373,788"
Oct-08,"373,796"
Nov-08,"373,139"
Dec-08,"371,078"
Jan-09,"361,962"
Feb-09,"359,884"
Mar-09,"357,154"
Apr-09,"353,429"
May-09,"353,126"
Jun-09,"352,608"
Jul-09,"338,541"
Aug-09,"340,898"
Sep-09,"345,549"
Oct-09,"346,699"
Nov-09,"348,388"
Dec-09,"349,253"
Jan-10,"339,833"
Feb-10,"340,652"
Mar-10,"341,450"
Apr-10,"343,692"
May-10,"345,791"
Jun-10,"344,972"
Jul-10,"337,061"
Aug-10,"339,639"
Sep-10,"343,834"
Oct-10,"347,371"
Nov-10,"350,520"
Dec-10,"351,215"
Jan-11,"347,413"
Feb-11,"349,128"
Mar-11,"349,041"
Apr-11,"349,521"
May-11,"350,911"
Jun-11,"350,430"
Jul-11,"343,046"
Aug-11,"344,896"
Sep-11,"348,844"
Oct-11,"350,845"
Nov-11,"352,889"
Dec-11,"353,265"
Jan-12,"348,775"
Feb-12,"351,535"
Mar-12,"352,724"
Apr-12,"356,321"
May-12,"358,446"
Jun-12,"358,868"
Jul-12,"352,500"
Aug-12,"355,344"
Sep-12,"361,053"
Oct-12,"366,182"
Nov-12,"368,744"
Dec-12,"371,132"
Jan-13,"364,389"
Feb-13,"366,757"
Mar-13,"367,632"
Apr-13,"371,305"
May-13,"373,714"
Jun-13,"373,498"
Jul-13,"368,379"
Aug-13,"371,702"
Sep-13,"377,819"
Oct-13,"379,614"
Nov-13,"383,491"
Dec-13,"384,234"
Jan-14,"376,212"
Feb-14,"379,850"
Mar-14,"380,451"
Apr-14,"382,252"
May-14,"383,870"
Jun-14,"384,626"
Jul-14,"378,012"
Aug-14,"382,283"
Sep-14,"386,526"
Oct-14,"389,626"
Nov-14,"391,753"
Dec-14,"392,823"
Jan-15,"390,038"
Feb-15,"392,613"
Mar-15,"395,102"
Apr-15,"395,966"
May-15,"398,208"
Jun-15,"397,831"
