Date,Labor Force
1/1/2006,424483
2/1/2006,425242
3/1/2006,425720
4/1/2006,424629
5/1/2006,423921
6/1/2006,427321
7/1/2006,432568
8/1/2006,432538
9/1/2006,430069
10/1/2006,431836
11/1/2006,433243
12/1/2006,434327
1/1/2007,435837
2/1/2007,436571
3/1/2007,437212
4/1/2007,433588
5/1/2007,434526
6/1/2007,439508
7/1/2007,445269
8/1/2007,443044
9/1/2007,442242
10/1/2007,444458
11/1/2007,446851
12/1/2007,445180
1/1/2008,448486
2/1/2008,447191
3/1/2008,449710
4/1/2008,447345
5/1/2008,448592
6/1/2008,453207
7/1/2008,458450
8/1/2008,460651
9/1/2008,459065
10/1/2008,460283
11/1/2008,460153
12/1/2008,459740
1/1/2009,460588
2/1/2009,461169
3/1/2009,461128
4/1/2009,459314
5/1/2009,457574
6/1/2009,461352
7/1/2009,460547
8/1/2009,461602
9/1/2009,459976
10/1/2009,460602
11/1/2009,460584
12/1/2009,457732
1/1/2010,493624
2/1/2010,494249
3/1/2010,496415
4/1/2010,497290
5/1/2010,494855
6/1/2010,495304
7/1/2010,498317
8/1/2010,498846
9/1/2010,498030
10/1/2010,497968
11/1/2010,499697
12/1/2010,498511
1/1/2011,499030
2/1/2011,499882
3/1/2011,501774
4/1/2011,499552
5/1/2011,499368
6/1/2011,503539
7/1/2011,503883
8/1/2011,505829
9/1/2011,507674
10/1/2011,510175
11/1/2011,509202
12/1/2011,510175
1/1/2012,508011
2/1/2012,510886
3/1/2012,512562
4/1/2012,509126
5/1/2012,509387
6/1/2012,513571
7/1/2012,514627
8/1/2012,514537
9/1/2012,515494
10/1/2012,519239
11/1/2012,517124
12/1/2012,518432
1/1/2013,520299
2/1/2013,520857
3/1/2013,519969
4/1/2013,517960
5/1/2013,518914
6/1/2013,522747
7/1/2013,522861
8/1/2013,523094
9/1/2013,523665
10/1/2013,521211
11/1/2013,523269
12/1/2013,523102
1/1/2014,524998
2/1/2014,528361
3/1/2014,530338
4/1/2014,525566
5/1/2014,527859
6/1/2014,531512
7/1/2014,534395
8/1/2014,534556
9/1/2014,534425
10/1/2014,538488
11/1/2014,537343
12/1/2014,536261
1/1/2015,546672
2/1/2015,549454
3/1/2015,548411
4/1/2015,
5/1/2015,
6/1/2015,
7/1/2015,
8/1/2015,
9/1/2015,
10/1/2015,
11/1/2015,
12/1/2015,
1/1/2016,
2/1/2016,
3/1/2016,
