Date,Unemployment Rate
1/1/2006,5.4
2/1/2006,5.4
3/1/2006,5.3
4/1/2006,4.9
5/1/2006,4.6
6/1/2006,5.1
7/1/2006,5.4
8/1/2006,5.1
9/1/2006,4.9
10/1/2006,4.7
11/1/2006,4.9
12/1/2006,4.5
1/1/2007,5.3
2/1/2007,5.1
3/1/2007,5.1
4/1/2007,4.9
5/1/2007,4.7
6/1/2007,5.3
7/1/2007,5.6
8/1/2007,5.5
9/1/2007,5.4
10/1/2007,5.4
11/1/2007,5.4
12/1/2007,5.3
1/1/2008,5.7
2/1/2008,5.6
3/1/2008,5.9
4/1/2008,5.5
5/1/2008,6
6/1/2008,6.7
7/1/2008,7.1
8/1/2008,7.2
9/1/2008,7.1
10/1/2008,7.5
11/1/2008,7.9
12/1/2008,8.4
1/1/2009,10
2/1/2009,10.7
3/1/2009,11.4
4/1/2009,11.2
5/1/2009,11.6
6/1/2009,12.4
7/1/2009,12.5
8/1/2009,12.5
9/1/2009,12.4
10/1/2009,12.4
11/1/2009,12.2
12/1/2009,11.9
1/1/2010,12.3
2/1/2010,12.1
3/1/2010,12.2
4/1/2010,11.6
5/1/2010,11.3
6/1/2010,11.6
7/1/2010,11.8
8/1/2010,11.6
9/1/2010,11.2
10/1/2010,11.1
11/1/2010,11.3
12/1/2010,10.7
1/1/2011,11.1
2/1/2011,10.8
3/1/2011,10.7
4/1/2011,10.3
5/1/2011,10.1
6/1/2011,10.7
7/1/2011,10.7
8/1/2011,10.4
9/1/2011,10.2
10/1/2011,10
11/1/2011,9.7
12/1/2011,9.4
1/1/2012,9.6
2/1/2012,9.5
3/1/2012,9.3
4/1/2012,8.7
5/1/2012,8.7
6/1/2012,9.1
7/1/2012,9.3
8/1/2012,8.9
9/1/2012,8.2
10/1/2012,8.2
11/1/2012,8
12/1/2012,7.8
1/1/2013,8.3
2/1/2013,7.8
3/1/2013,7.6
4/1/2013,7
5/1/2013,7
6/1/2013,7.5
7/1/2013,7.6
8/1/2013,7.2
9/1/2013,6.9
10/1/2013,6.9
11/1/2013,6.6
12/1/2013,6.1
1/1/2014,6.4
2/1/2014,6.4
3/1/2014,6.4
4/1/2014,5.5
5/1/2014,5.6
6/1/2014,5.7
7/1/2014,6.2
8/1/2014,5.9
9/1/2014,5.4
10/1/2014,5.4
11/1/2014,5.3
12/1/2014,4.8
1/1/2015,5.3
2/1/2015,5
3/1/2015,4.9
4/1/2015,4.5
5/1/2015,4.5
6/1/2015,4.6
7/1/2015,4.9
8/1/2015,4.6
9/1/2015,4.3
10/1/2015,4.5
11/1/2015,4.4
12/1/2015,4.2
1/1/2016,4.2
2/1/2016,4.2
3/1/2016,4.2
