"Date","Jobs"
"Jan 2008","374017"
"Feb 2008","377484"
"March 2008","377210"
"Apr 2008","376554"
"May 2008","377953"
"June 2008","377119"
"July 2008","366284"
"Aug 2008","367798"
"Sept 2008","373788"
"Oct 2008","373796"
"Nov 2008","373139"
"Dec 2008","371078"
"Jan 2009","361962"
"Feb 2009","359884"
"March 2009","357154"
"Apr 2009","353429"
"May 2009","353126"
"June 2009","352608"
"July 2009","338541"
"Aug 2009","340898"
"Sept 2009","345549"
"Oct 2009","346699"
"Nov 2009","348388"
"Dec 2009","349253"
"Jan 2010","339833"
"Feb 2010","340652"
"March 2010","341450"
"Apr 2010","343692"
"May 2010","345791"
"June 2010","344972"
"July 2010","337061"
"Aug 2010","339639"
"Sept 2010","343834"
"Oct 2010","347371"
"Nov 2010","350520"
"Dec 2010","351215"
"Jan 2011","347413"
"Feb 2011","349128"
"March 2011","349041"
"Apr 2011","349521"
"May 2011","350911"
"June 2011","350430"
"July 2011","343046"
"Aug 2011","344896"
"Sept 2011","348844"
"Oct 2011","350845"
"Nov 2011","352889"
"Dec 2011","353265"
"Jan 2012","348775"
"Feb 2012","351535"
"March 2012","352724"
"Apr 2012","356321"
"May 2012","358446"
"June 2012","358868"
"July 2012","352500"
"Aug 2012","355344"
"Sept 2012","361053"
"Oct 2012","366182"
"Nov 2012","368744"
"Dec 2012","371132"
"Jan 2013","364389"
"Feb 2013","366757"
"March 2013","367632"
"April 2013","371305"
"May 2013","373714"
"June 2013","373498"
"July 2013","368379"
"Aug 2013","371702"
"Sept 2013","377819"
"Oct 2013","379614"
"Nov 2013","383491"
"Dec 2013","384234"
"Jan 2014","376212"
"Feb 2014","379850"
"March 2014","380451"
"April 2014","382252"
"May 2014","383870"
"June 2014","384626"
"July 2014","378012"
"Aug 2014","382283"
"Sept 2014","386526"
"Oct 2014","389626"
"Nov 2014","391753"
"Dec 2014","392823"
"Jan 2015","390038"
"Feb 2015","392613"
"March 2015","395102"
"April 2015","395966"
"May 2015","398208"
"June 2015","397831"
