"Date","Single Family Home","Condo/Townhome"
"Jan 2000","$407,250","$235,000"
"Feb 2000","$424,980","$254,450"
"March 2000","$429,975","$259,950"
"Apr 2000","$435,000","$279,950"
"May 2000","$449,999","$269,950"
"June 2000","$459,919","$288,888"
"July 2000","$460,000","$299,000"
"Aug 2000","$452,000","$285,000"
"Sept 2000","$469,925","$285,000"
"Oct 2000","$485,000","$294,950"
"Nov 2000","$489,000","$309,950"
"Dec 2000","$499,000","$314,000"
"Jan 2001","$499,844","$320,000"
"Feb 2001","$499,950","$319,950"
"March 2001","$499,250","$327,450"
"Apr 2001","$479,950","$300,000"
"May 2001","$499,950","$310,000"
"June 2001","$489,000","$319,000"
"July 2001","$479,000","$309,000"
"Aug 2001","$465,000","$315,888"
"Sept 2001","$462,000","$299,250"
"Oct 2001","$469,900","$299,800"
"Nov 2001","$469,000","$299,500"
"Dec 2001","$474,925","$315,000"
"Jan 2002","$459,800","$309,975"
"Feb 2002","$489,950","$309,950"
"March 2002","$492,000","$315,000"
"Apr 2002","$499,950","$309,000"
"May 2002","$519,500","$325,000"
"June 2002","$499,950","$335,000"
"July 2002","$499,000","$322,500"
"Aug 2002","$499,950","$319,000"
"Sept 2002","$510,000","$332,000"
"Oct 2002","$500,000","$319,750"
"Nov 2002","$489,000","$322,444"
"Dec 2002","$499,500","$339,950"
"Jan 2003","$499,950","$319,950"
"Feb 2003","$499,900","$339,500"
"March 2003","$499,000","$329,000"
"Apr 2003","$502,999","$313,975"
"May 2003","$500,000","$330,000"
"June 2003","$519,000","$326,475"
"July 2003","$505,000","$330,000"
"Aug 2003","$520,000","$339,000"
"Sept 2003","$520,000","$330,000"
"Oct 2003","$517,000","$329,000"
"Nov 2003","$520,000","$330,000"
"Dec 2003","$530,000","$325,000"
"Jan 2004","$514,700","$330,000"
"Feb 2004","$535,000","$325,000"
"March 2004","$550,000","$332,000"
"Apr 2004","$565,000","$350,000"
"May 2004","$588,500","$350,000"
"June 2004","$585,000","$350,000"
"July 2004","$586,000","$346,000"
"Aug 2004","$575,000","$360,000"
"Sept 2004","$590,000","$364,000"
"Oct 2004","$588,000","$362,000"
